年度,食品群,検体名,Bacteria,Serotype,検体数,陽性数,品目カテゴリ
2008,食肉,ミンチ肉（牛豚混合）,カンピロバクター,-,119,-,厚生労働省指定品目
2008,食肉,ミンチ肉（牛豚混合）,サルモネラ属菌,-,119,2,厚生労働省指定品目
2008,食肉,ミンチ肉（牛豚混合）,腸管出血性大腸菌,O157,119,-,厚生労働省指定品目
2008,食肉,ミンチ肉（牛豚混合）,腸管出血性大腸菌,O26,119,-,厚生労働省指定品目
2008,食肉,ミンチ肉（牛）,E.coli,-,137,88,厚生労働省指定品目
2008,食肉,ミンチ肉（牛）,カンピロバクター,-,137,1,厚生労働省指定品目
2008,食肉,ミンチ肉（牛）,サルモネラ属菌,-,137,3,厚生労働省指定品目
2008,食肉,ミンチ肉（牛）,腸管出血性大腸菌,O157,137,-,厚生労働省指定品目
2008,食肉,ミンチ肉（牛）,腸管出血性大腸菌,O26,137,-,厚生労働省指定品目
2008,食肉,ミンチ肉（豚）,E.coli,-,177,139,厚生労働省指定品目
2008,食肉,ミンチ肉（豚）,カンピロバクター,-,177,1,厚生労働省指定品目
2008,食肉,ミンチ肉（豚）,サルモネラ属菌,-,177,7,厚生労働省指定品目
2008,食肉,ミンチ肉（豚）,腸管出血性大腸菌,O157,177,-,厚生労働省指定品目
2008,食肉,ミンチ肉（豚）,腸管出血性大腸菌,O26,177,-,厚生労働省指定品目
2008,食肉,ミンチ肉（鶏）,E.coli,-,196,166,厚生労働省指定品目
2008,食肉,ミンチ肉（鶏）,カンピロバクター,-,196,46,厚生労働省指定品目
2008,食肉,ミンチ肉（鶏）,サルモネラ属菌,-,196,84,厚生労働省指定品目
2008,食肉,ミンチ肉（鶏）,腸管出血性大腸菌,O157,196,-,厚生労働省指定品目
2008,食肉,ミンチ肉（鶏）,腸管出血性大腸菌,O26,196,-,厚生労働省指定品目
2008,食肉,ローストビーフ,E.coli,-,85,6,厚生労働省指定品目
2008,食肉,ローストビーフ,カンピロバクター,-,85,-,厚生労働省指定品目
2008,食肉,ローストビーフ,サルモネラ属菌,-,85,-,厚生労働省指定品目
2008,食肉,ローストビーフ,腸管出血性大腸菌,O157,85,-,厚生労働省指定品目
2008,食肉,ローストビーフ,腸管出血性大腸菌,O26,85,-,厚生労働省指定品目
2008,食肉,牛たたき,E.coli,-,77,11,厚生労働省指定品目
2008,食肉,牛たたき,カンピロバクター,-,77,-,厚生労働省指定品目
2008,食肉,牛たたき,サルモネラ属菌,-,77,-,厚生労働省指定品目
2008,食肉,牛たたき,腸管出血性大腸菌,O157,77,-,厚生労働省指定品目
2008,食肉,牛たたき,腸管出血性大腸菌,O26,77,-,厚生労働省指定品目
2008,食肉,牛レバー（加熱加工用）,E.coli,-,212,137,厚生労働省指定品目
2008,食肉,牛レバー（加熱加工用）,カンピロバクター,-,212,18,厚生労働省指定品目
2008,食肉,牛レバー（加熱加工用）,サルモネラ属菌,-,212,1,厚生労働省指定品目
2008,食肉,牛レバー（加熱加工用）,腸管出血性大腸菌,O157,212,-,厚生労働省指定品目
2008,食肉,牛レバー（加熱加工用）,腸管出血性大腸菌,O26,212,-,厚生労働省指定品目
2008,食肉,牛レバー（生食用）,E.coli,-,11,9,厚生労働省指定品目
2008,食肉,牛レバー（生食用）,カンピロバクター,-,11,2,厚生労働省指定品目
2008,食肉,牛レバー（生食用）,サルモネラ属菌,-,11,-,厚生労働省指定品目
2008,食肉,牛レバー（生食用）,腸管出血性大腸菌,O157,11,-,厚生労働省指定品目
2008,食肉,牛レバー（生食用）,腸管出血性大腸菌,O26,11,-,厚生労働省指定品目
2008,食肉,牛刺し,E.coli,-,22,4,実施自治体*1選定品目
2008,食肉,牛刺し,カンピロバクター,-,22,-,実施自治体*1選定品目
2008,食肉,牛刺し,サルモネラ属菌,-,22,-,実施自治体*1選定品目
2008,食肉,牛刺し,腸管出血性大腸菌,O157,22,-,実施自治体*1選定品目
2008,食肉,牛刺し,腸管出血性大腸菌,O26,22,-,実施自治体*1選定品目
2008,食肉,牛結着肉,E.coli,-,146,103,厚生労働省指定品目
2008,食肉,牛結着肉,カンピロバクター,-,146,-,厚生労働省指定品目
2008,食肉,牛結着肉,サルモネラ属菌,-,146,1,厚生労働省指定品目
2008,食肉,牛結着肉,腸管出血性大腸菌,O157,146,-,厚生労働省指定品目
2008,食肉,牛結着肉,腸管出血性大腸菌,O26,146,-,厚生労働省指定品目
2008,食肉,牛肉,E.coli,-,23,-,実施自治体*1選定品目
2008,食肉,牛肉,カンピロバクター,-,23,-,実施自治体*1選定品目
2008,食肉,牛肉,サルモネラ属菌,-,23,-,実施自治体*1選定品目
2008,食肉,牛肉,腸管出血性大腸菌,O157,23,-,実施自治体*1選定品目
2008,食肉,牛肉,腸管出血性大腸菌,O26,23,-,実施自治体*1選定品目
2008,食肉,豚肉,E.coli,-,28,3,実施自治体*1選定品目
2008,食肉,豚肉,カンピロバクター,-,28,-,実施自治体*1選定品目
2008,食肉,豚肉,サルモネラ属菌,-,28,-,実施自治体*1選定品目
2008,食肉,豚肉,腸管出血性大腸菌,O157,28,-,実施自治体*1選定品目
2008,食肉,豚肉,腸管出血性大腸菌,O26,28,-,実施自治体*1選定品目
2008,食肉,馬刺,E.coli,-,79,20,厚生労働省指定品目
2008,食肉,馬刺,カンピロバクター,-,79,-,厚生労働省指定品目
2008,食肉,馬刺,サルモネラ属菌,-,79,1,厚生労働省指定品目
2008,食肉,馬刺,腸管出血性大腸菌,O157,79,-,厚生労働省指定品目
2008,食肉,馬刺,腸管出血性大腸菌,O26,79,-,厚生労働省指定品目
2008,食肉,鶏たたき,E.coli,-,45,32,厚生労働省指定品目
2008,食肉,鶏たたき,カンピロバクター,-,45,9,厚生労働省指定品目
2008,食肉,鶏たたき,サルモネラ属菌,-,45,9,厚生労働省指定品目
2008,食肉,鶏たたき,腸管出血性大腸菌,O157,45,-,厚生労働省指定品目
2008,食肉,鶏たたき,腸管出血性大腸菌,O26,45,-,厚生労働省指定品目
2008,食肉,鶏刺し,E.coli,-,18,13,実施自治体*1選定品目
2008,食肉,鶏刺し,カンピロバクター,-,18,3,実施自治体*1選定品目
2008,食肉,鶏刺し,サルモネラ属菌,-,18,2,実施自治体*1選定品目
2008,食肉,鶏刺し,腸管出血性大腸菌,O157,18,-,実施自治体*1選定品目
2008,食肉,鶏刺し,腸管出血性大腸菌,O26,18,-,実施自治体*1選定品目
2008,食肉,鶏砂ずり,E.coli,-,11,10,実施自治体*1選定品目
2008,食肉,鶏砂ずり,カンピロバクター,-,11,4,実施自治体*1選定品目
2008,食肉,鶏砂ずり,サルモネラ属菌,-,11,-,実施自治体*1選定品目
2008,食肉,鶏砂ずり,腸管出血性大腸菌,O157,11,-,実施自治体*1選定品目
2008,食肉,鶏砂ずり,腸管出血性大腸菌,O26,11,-,実施自治体*1選定品目
2008,食肉,鶏肉,E.coli,-,30,23,実施自治体*1選定品目
2008,食肉,鶏肉,カンピロバクター,-,30,8,実施自治体*1選定品目
2008,食肉,鶏肉,サルモネラ属菌,-,30,14,実施自治体*1選定品目
2008,食肉,鶏肉,腸管出血性大腸菌,O157,30,-,実施自治体*1選定品目
2008,食肉,鶏肉,腸管出血性大腸菌,O26,30,-,実施自治体*1選定品目
2009,加エ品,漬物,E.coli,-,190,20,厚生労働省指定品目
2009,加エ品,漬物,カンピロバクター,-,190,-,厚生労働省指定品目
2009,加エ品,漬物,サルモネラ属菌,-,190,-,厚生労働省指定品目
2009,加エ品,漬物,腸管出血性大腸菌,O157,190,-,厚生労働省指定品目
2009,加エ品,漬物,腸管出血性大腸菌,O26,190,-,厚生労働省指定品目
2009,野菜,その他の野菜＊2,E.coli,-,108,26,実施自治体*1選定品目
2009,野菜,その他の野菜＊2,カンピロバクター,-,108,-,実施自治体*1選定品目
2009,野菜,その他の野菜＊2,サルモネラ属菌,-,108,-,実施自治体*1選定品目
2009,野菜,その他の野菜＊2,腸管出血性大腸菌,O157,108,-,実施自治体*1選定品目
2009,野菜,その他の野菜＊2,腸管出血性大腸菌,O26,108,-,実施自治体*1選定品目
2009,野菜,なす,E.coli,-,21,4,実施自治体*1選定品目
2009,野菜,なす,カンピロバクター,-,21,-,実施自治体*1選定品目
2009,野菜,なす,サルモネラ属菌,-,21,-,実施自治体*1選定品目
2009,野菜,なす,腸管出血性大腸菌,O157,21,-,実施自治体*1選定品目
2009,野菜,なす,腸管出血性大腸菌,O26,21,-,実施自治体*1選定品目
2009,野菜,サラダ菜,E.coli,-,11,2,実施自治体*1選定品目
2009,野菜,サラダ菜,カンピロバクター,-,11,-,実施自治体*1選定品目
2009,野菜,サラダ菜,サルモネラ属菌,-,11,-,実施自治体*1選定品目
2009,野菜,サラダ菜,腸管出血性大腸菌,O157,11,-,実施自治体*1選定品目
2009,野菜,サラダ菜,腸管出血性大腸菌,O26,11,-,実施自治体*1選定品目
2009,野菜,トマト,E.coli,-,94,7,実施自治体*1選定品目
2009,野菜,トマト,カンピロバクター,-,94,-,実施自治体*1選定品目
2009,野菜,トマト,サルモネラ属菌,-,94,-,実施自治体*1選定品目
2009,野菜,トマト,腸管出血性大腸菌,O157,94,-,実施自治体*1選定品目
2009,野菜,トマト,腸管出血性大腸菌,O26,94,-,実施自治体*1選定品目
2009,野菜,ニンジン,E.coli,-,10,0,実施自治体*1選定品目
2009,野菜,ニンジン,カンピロバクター,-,10,-,実施自治体*1選定品目
2009,野菜,ニンジン,サルモネラ属菌,-,10,-,実施自治体*1選定品目
2009,野菜,ニンジン,腸管出血性大腸菌,O157,10,-,実施自治体*1選定品目
2009,野菜,ニンジン,腸管出血性大腸菌,O26,10,-,実施自治体*1選定品目
2009,野菜,ブロッコリースプラウト,E.coli,-,17,1,実施自治体*1選定品目
2009,野菜,ブロッコリースプラウト,カンピロバクター,-,17,-,実施自治体*1選定品目
2009,野菜,ブロッコリースプラウト,サルモネラ属菌,-,17,-,実施自治体*1選定品目
2009,野菜,ブロッコリースプラウト,腸管出血性大腸菌,O157,17,-,実施自治体*1選定品目
2009,野菜,ブロッコリースプラウト,腸管出血性大腸菌,O26,17,-,実施自治体*1選定品目
2009,野菜,ホウレンソウ,E.coli,-,19,6,実施自治体*1選定品目
2009,野菜,ホウレンソウ,カンピロバクター,-,19,-,実施自治体*1選定品目
2009,野菜,ホウレンソウ,サルモネラ属菌,-,19,-,実施自治体*1選定品目
2009,野菜,ホウレンソウ,腸管出血性大腸菌,O157,19,-,実施自治体*1選定品目
2009,野菜,ホウレンソウ,腸管出血性大腸菌,O26,19,-,実施自治体*1選定品目
2009,野菜,ミニトマト,E.coli,-,12,0,実施自治体*1選定品目
2009,野菜,ミニトマト,カンピロバクター,-,12,-,実施自治体*1選定品目
2009,野菜,ミニトマト,サルモネラ属菌,-,12,-,実施自治体*1選定品目
2009,野菜,ミニトマト,腸管出血性大腸菌,O157,12,-,実施自治体*1選定品目
2009,野菜,ミニトマト,腸管出血性大腸菌,O26,12,-,実施自治体*1選定品目
2009,野菜,大根,E.coli,-,23,4,実施自治体*1選定品目
2009,野菜,大根,カンピロバクター,-,23,-,実施自治体*1選定品目
2009,野菜,大根,サルモネラ属菌,-,23,-,実施自治体*1選定品目
2009,野菜,大根,腸管出血性大腸菌,O157,23,-,実施自治体*1選定品目
2009,野菜,大根,腸管出血性大腸菌,O26,23,-,実施自治体*1選定品目
2009,野菜,水菜,E.coli,-,18,2,実施自治体*1選定品目
2009,野菜,水菜,カンピロバクター,-,18,-,実施自治体*1選定品目
2009,野菜,水菜,サルモネラ属菌,-,18,-,実施自治体*1選定品目
2009,野菜,水菜,腸管出血性大腸菌,O157,18,-,実施自治体*1選定品目
2009,野菜,水菜,腸管出血性大腸菌,O26,18,-,実施自治体*1選定品目
2009,野菜,長ネギ,E.coli,-,13,0,実施自治体*1選定品目
2009,野菜,長ネギ,カンピロバクター,-,13,-,実施自治体*1選定品目
2009,野菜,長ネギ,サルモネラ属菌,-,13,-,実施自治体*1選定品目
2009,野菜,長ネギ,腸管出血性大腸菌,O157,13,-,実施自治体*1選定品目
2009,野菜,長ネギ,腸管出血性大腸菌,O26,13,-,実施自治体*1選定品目
2009,野菜,みつば,E.coli,-,67,30,厚生労働省指定品目
2009,野菜,みつば,カンピロバクター,-,67,-,厚生労働省指定品目
2009,野菜,みつば,サルモネラ属菌,-,67,-,厚生労働省指定品目
2009,野菜,みつば,腸管出血性大腸菌,O157,67,-,厚生労働省指定品目
2009,野菜,みつば,腸管出血性大腸菌,O26,67,-,厚生労働省指定品目
2009,野菜,もやし,E.coli,-,120,51,厚生労働省指定品目
2009,野菜,もやし,カンピロバクター,-,120,-,厚生労働省指定品目
2009,野菜,もやし,サルモネラ属菌,-,120,-,厚生労働省指定品目
2009,野菜,もやし,腸管出血性大腸菌,O157,120,-,厚生労働省指定品目
2009,野菜,もやし,腸管出血性大腸菌,O26,120,-,厚生労働省指定品目
2009,野菜,アルファルファ,E.coli,-,23,7,厚生労働省指定品目
2009,野菜,アルファルファ,カンピロバクター,-,23,-,厚生労働省指定品目
2009,野菜,アルファルファ,サルモネラ属菌,-,23,-,厚生労働省指定品目
2009,野菜,アルファルファ,腸管出血性大腸菌,O157,23,-,厚生労働省指定品目
2009,野菜,アルファルファ,腸管出血性大腸菌,O26,23,-,厚生労働省指定品目
2009,野菜,カイワレ,E.coli,-,106,13,厚生労働省指定品目
2009,野菜,カイワレ,カンピロバクター,-,106,-,厚生労働省指定品目
2009,野菜,カイワレ,サルモネラ属菌,-,106,-,厚生労働省指定品目
2009,野菜,カイワレ,腸管出血性大腸菌,O157,106,-,厚生労働省指定品目
2009,野菜,カイワレ,腸管出血性大腸菌,O26,106,-,厚生労働省指定品目
2009,野菜,カット野菜,E.coli,-,156,20,厚生労働省指定品目
2009,野菜,カット野菜,カンピロバクター,-,156,-,厚生労働省指定品目
2009,野菜,カット野菜,サルモネラ属菌,-,156,-,厚生労働省指定品目
2009,野菜,カット野菜,腸管出血性大腸菌,O157,156,-,厚生労働省指定品目
2009,野菜,カット野菜,腸管出血性大腸菌,O26,156,-,厚生労働省指定品目
2009,野菜,レタス,E.coli,-,115,12,厚生労働省指定品目
2009,野菜,レタス,カンピロバクター,-,115,-,厚生労働省指定品目
2009,野菜,レタス,サルモネラ属菌,-,115,-,厚生労働省指定品目
2009,野菜,レタス,腸管出血性大腸菌,O157,115,-,厚生労働省指定品目
2009,野菜,レタス,腸管出血性大腸菌,O26,115,-,厚生労働省指定品目
2009,野菜,漬け物野菜,E.coli,-,162,18,厚生労働省指定品目
2009,野菜,漬け物野菜,カンピロバクター,-,162,-,厚生労働省指定品目
2009,野菜,漬け物野菜,サルモネラ属菌,-,162,-,厚生労働省指定品目
2009,野菜,漬け物野菜,腸管出血性大腸菌,O157,162,-,厚生労働省指定品目
2009,野菜,漬け物野菜,腸管出血性大腸菌,O26,162,-,厚生労働省指定品目
2009,野菜,ｷｭｳﾘ,E.coli,-,107,17,厚生労働省指定品目
2009,野菜,ｷｭｳﾘ,カンピロバクター,-,107,-,厚生労働省指定品目
2009,野菜,ｷｭｳﾘ,サルモネラ属菌,-,107,-,厚生労働省指定品目
2009,野菜,ｷｭｳﾘ,腸管出血性大腸菌,O157,107,-,厚生労働省指定品目
2009,野菜,ｷｭｳﾘ,腸管出血性大腸菌,O26,107,-,厚生労働省指定品目
2009,食肉,その他の加工用食肉等＊*3,E.coli,-,24,19,実施自治体*1選定品目
2009,食肉,その他の加工用食肉等＊*3,カンピロバクター,-,24,5,実施自治体*1選定品目
2009,食肉,その他の加工用食肉等＊*3,サルモネラ属菌,-,24,2,実施自治体*1選定品目
2009,食肉,その他の加工用食肉等＊*3,腸管出血性大腸菌,O157,24,-,実施自治体*1選定品目
2009,食肉,その他の加工用食肉等＊*3,腸管出血性大腸菌,O26,24,-,実施自治体*1選定品目
2009,食肉,その他の生食用食肉＊4,E.coli,-,5,5,実施自治体*1選定品目
2009,食肉,その他の生食用食肉＊4,カンピロバクター,-,5,-,実施自治体*1選定品目
2009,食肉,その他の生食用食肉＊4,サルモネラ属菌,-,5,-,実施自治体*1選定品目
2009,食肉,その他の生食用食肉＊4,腸管出血性大腸菌,O157,5,-,実施自治体*1選定品目
2009,食肉,その他の生食用食肉＊4,腸管出血性大腸菌,O26,5,-,実施自治体*1選定品目
2009,食肉,その他の食肉加工品、5,E.coli,-,11,3,実施自治体*1選定品目
2009,食肉,その他の食肉加工品、5,カンピロバクター,-,11,-,実施自治体*1選定品目
2009,食肉,その他の食肉加工品、5,サルモネラ属菌,-,11,1,実施自治体*1選定品目
2009,食肉,その他の食肉加工品、5,腸管出血性大腸菌,O157,11,-,実施自治体*1選定品目
2009,食肉,その他の食肉加工品、5,腸管出血性大腸菌,O26,11,-,実施自治体*1選定品目
2009,食肉,カットステ一キ肉,E.coli,-,56,33,厚生労働省指定品目
2009,食肉,カットステ一キ肉,カンピロバクター,-,56,-,厚生労働省指定品目
2009,食肉,カットステ一キ肉,サルモネラ属菌,-,56,-,厚生労働省指定品目
2009,食肉,カットステ一キ肉,腸管出血性大腸菌,O157,56,-,厚生労働省指定品目
2009,食肉,カットステ一キ肉,腸管出血性大腸菌,O26,56,-,厚生労働省指定品目
2009,食肉,ミンチ肉（牛豚混合）,E.coli,-,113,83,厚生労働省指定品目
2009,食肉,ミンチ肉（牛豚混合）,カンピロバクター,-,113,-,厚生労働省指定品目
2009,食肉,ミンチ肉（牛豚混合）,サルモネラ属菌,-,113,1,厚生労働省指定品目
2009,食肉,ミンチ肉（牛豚混合）,腸管出血性大腸菌,O157,113,-,厚生労働省指定品目
2009,食肉,ミンチ肉（牛豚混合）,腸管出血性大腸菌,O26,113,-,厚生労働省指定品目
